Index,Acts number,Acts 
6948,1 of 1,The Punjab Municipalities Act 1911
6949,1 of 1,Therefrom Was Assessable To Tax Under The Indian Income-Tax Act 1922
6950,1 of 1,The Application Of Section 6 Of The Bihar Land Reforms Act 1950
6951,0 of 0,Empty
6952,1 of 1,The Provisions Of S. 312 Of The Companypanies Act 1956
6953,0 of 0,Empty
6954,1 of 1,Ther Having Regard To S. 226 Of The Government Of India Act 1935
6955,1 of 1,The Punjab Pre-Emption  Amendment  Act 1960
6956,1 of 1,The Provisions Of The Bengal Municipal Act 1932
6957,1 of 1,1
6958,0 of 0,Empty
6959,0 of 0,Empty
6960,1 of 1,The Punjab Tenancy Act 1887
6961,1 of 1,The Vexatious Litigation  Prevention  Act 1949
6962,0 of 0,Empty
6963,1 of 1,The Indian Evidence Act 1872
6964,1 of 1,The Same. The Calcutta Thika Tenancy Act 1949
6965,1 of 1,2
6966,1 of 1,The Indian Income-Tax Act 1922
6967,0 of 0,Empty
6968,1 of 1,The Companyoperative Societies Act 1912
6969,1 of 1,The Effect That Under Section 5 1  Of The Punjab Municipal Act 1911
6970,0 of 0,Empty
6971,1 of 1,0
6972,1 of 1,The Tax Payable Under The Tamil Nadu General Sales Tax Act 1950
6973,0 of 0,Empty
6974,0 of 0,Empty
6975,1 of 1,The Income Tax Act 1922
6976,1 of 1,0
6977,0 of 0,Empty
6978,1 of 1,The Punjab Municipalities Act 1911
6979,1 of 1,The Enactment Of West Bengal Sales Tax  Amendment  Act 1958
6980,0 of 0,Empty
6981,1 of 1,The Bihar Tenancy Act 1885
6982,1 of 1,The Further Appeals Under S.54 Of The Land Acquisition Act 1894
6983,1 of 1,The Motor Vehicles Act 1939
6984,0 of 0,Empty
6985,1 of 1,The Bihar And Orissa Excise Act 1915
6986,1 of 1,The Provisions Of West Bengal Estate Acquisition Act 1953
6987,0 of 0,Empty
6988,0 of 0,Empty
6989,1 of 1,The Government Of India Act 1935
6990,1 of 1,The Repre- Sentation Of The People Act 1951
6991,1 of 1,The Industrial Disputes Act 1947
6992,0 of 0,Empty
6993,1 of 1,The Indian Companytract Act 1872
6994,1 of 1,The First Schedule To The Limitation Act 1963
6995,0 of 0,Empty
6996,1 of 1,The Mines And Minerals  Regulation And Development  Act 1957
6997,1 of 1,The First Schedule To The Indian Finance Act 1952
6998,1 of 1,The Bihar Buildings  Lease Rent And Eviction  Companytrol Act 1977
6999,1 of 1,The Provisions Of The Eastern Bengal And Assam Excise Act 1910
7000,0 of 0,Empty
7001,0 of 0,Empty
7002,1 of 1,The Respondents  Under The Payment Of Wages Act 1936
7003,1 of 1,The Madras General Sales Tax Act 1959
7004,0 of 0,Empty
7005,1 of 1,The Specific Relief Act 1963
7006,0 of 0,Empty
7007,1 of 1,The Office Under Section 115 Of The Orissa Grama Panchayat Act 1964
7008,0 of 0,Empty
7009,0 of 0,Empty
7010,1 of 1,The Gujarat Municipalities Act 1963
7011,1 of 1,The National Security Act 1980
7012,1 of 1,The Maintenance Of Internal Security Act 1971
7013,0 of 0,Empty
7014,1 of 1,The Provisions Of The Calcutta Municipal Act 1951
7015,1 of 1,The Vires Of The Industrial Disputes Act 1947
7016,1 of 1,The Indian Income Tax Act 1922
7017,1 of 1,The Provisions Of Section 66A  2  Of The Indian Income-Tax Act 1922
7018,1 of 1,The Indian Income- Tax Act 1922
7019,0 of 0,Empty
7020,0 of 0,Empty
7021,1 of 1,The Companying Into Force Of The Part States  Laws  Act 1951
7022,0 of 0,Empty
7023,1 of 1,The Prevention Of Food Adulteration Act 1954
7024,1 of 1,The Maharashtra Companyperative Societies Act 1960
7025,1 of 1,The Income-Tax Act 1922
7026,1 of 1,The Definition In The Unemployment Relief Tax  Assessment  Act 1933
7027,0 of 0,Empty
7028,0 of 0,Empty
7029,1 of 1,The Representation Of The People Act 1951
7030,1 of 1,The Bombay Rents Hotel And Lodging House Rates Companytrol Act 1947
7031,1 of 1,The Homeopathy Central Companyncil Act 1973
7032,1 of 1,The Punjab Forward Companytracts Tax Act 1951
7033,1 of 1,The Excess Profits Tax Act 1940
7034,1 of 1,7
7035,1 of 1,The U.P. Companysolidation Of Holdings Act 1954
7036,1 of 1,The Indian Income Tax Act 1922
7037,1 of 1,The Industrial Disputes Act 1947
7038,1 of 1,The Provisions Of The Punjab Agricultural Produce Markets Act 1961
7039,1 of 1,0
7040,0 of 0,Empty
7041,1 of 1,2
7042,1 of 1,The East Punjab Utilization Of Land Act 1949
7043,1 of 1,The Hindu Minumberity And Guardianship Act 1956
7044,1 of 1,The Appellant Under Section 66 1  Of The Indian Income-Tax Act 1922
7045,1 of 1,The Petitioner Under Sec. 3 2  Of The National Security Act 1980
7046,1 of 1,The Latter Case S. 52 Of The Income Tax Act 1922
7047,1 of 1,The Gujarat Tax On Luxuries  Hotels Lodging Houses  Act 1977
7048,1 of 1,8
7049,1 of 1,7
7050,1 of 1,The Present Case. Under The Motor Vehicles Act 1939
7051,1 of 1,The Bombay Hereditary Offices Act 1874
7052,1 of 1,Then Had Become Part Of India. Further S. 13 To The Finance Act 1950
7053,1 of 1,The Assessee Under S. 43 Of The Indian Income-Tax Act 1922
7054,1 of 1,The Electricity Supply Act 1948
7055,0 of 0,Empty
7056,0 of 0,Empty
7057,1 of 1,The Power Under Section 263 Of The Income-Tax Act 1961
7058,1 of 1,The Bombay Agricultural Produce Markets Act 1939
7059,1 of 1,The Representation Of The People Act 1951
7060,1 of 1,The Madras Estates Land  Reduction Of Rent  Act 1947
7061,1 of 1,The Indian Income Tax Act 1922
7062,1 of 1,The Trade And Merchandise Marks Act 1958
7063,1 of 1,Ther An Appeal Lies Under S. 30 1  Of The Indian Income-Tax Act 1922
7064,0 of 0,Empty
7065,1 of 1,The Indian Registration Act 1908
7066,1 of 1,The Madras Revenue Recovery Act 1864
7067,1 of 1,The Payment Of Wages Act 1936
7068,1 of 1,The U.P. Imposition Of Ceiling On Land Holdings Act 1960
7069,0 of 0,Empty
7070,1 of 1,The State Financial Companyporations Act 1951
7071,1 of 1,The Bombay Companyoperative Societies Act 1925
7072,1 of 1,The Industrial Disputes Act 1947
7073,0 of 0,Empty
7074,1 of 1,The Scope And Effect Of The Central Sales Tax  Amendment  Act 1969
7075,0 of 0,Empty
7076,1 of 1,The Passing Of The West Bengal Estates Acquisition Act 1953
7077,1 of 1,The Government Of Part C States Act 1951
7078,1 of 1,The Andhra Pradesh General Sales Tax Act 1957
7079,0 of 0,Empty
7080,1 of 1,The Madhya Pradesh Government Premises  Eviction  Act 1952
7081,0 of 0,Empty
7082,0 of 0,Empty
7083,1 of 1,The Maintenance Of Internal Security Act 1971
7084,1 of 1,The Mysore Compulsory Primary Education Act 1969
7085,1 of 1,The Defence Of India Act 1939
7086,1 of 1,The Indian Companytract Act 1872
7087,1 of 1,The Industrial Disputes Act 1947
7088,1 of 1,The Validity Of The  Orissa Sales Tax Validation Act 1961
7089,0 of 0,Empty
7090,0 of 0,Empty
7091,0 of 0,Empty
7092,0 of 0,Empty
7093,1 of 1,The Government Of India Act 1935
7094,1 of 1,The Terms Of S. 240 3  Of The Government Of India Act 1935
7095,1 of 1,The Companye Of Criminal Procedure  Amendment  Act 1955
7096,1 of 1,The Motor Vehicles Act 1939
7097,0 of 0,Empty
7098,0 of 0,Empty
7099,0 of 0,Empty
7100,0 of 0,Empty
7101,0 of 0,Empty
7102,0 of 0,Empty
7103,0 of 0,Empty
7104,1 of 1,The Seventh Schedule To The Government Of India Act 1935
7105,1 of 1,The National Security Act 1980
7106,1 of 1,The Companies Act 1956
7107,0 of 0,Empty
7108,0 of 0,Empty
7109,1 of 1,The Prevention Of Food Adulteration Act 1954
7110,1 of 1,The Meaning Of Section 4 Of The Income-Tax Act 1922
7111,1 of 1,The Foreign Exchange Regulation Act 1947
7112,1 of 1,The Tenancy. The Bombay Tenancy And Agricultural Lands Act 1948
7113,0 of 0,Empty
7114,1 of 1,The Punjab Municipal Act 1911
7115,1 of 1,The Essential Companymodities Act 1955
7116,1 of 1,The Delhi Companyperative Socie- Ties Act 1972
7117,1 of 1,The Provisions Of Section 32 Of The Arbitration Act 1940
7118,0 of 0,Empty
7119,0 of 0,Empty
7120,1 of 1,The Punjab Security Of Land Tenures Act 1953
7121,0 of 0,Empty
7122,1 of 1,The Workmens Companypensation Act 1923
7123,1 of 1,The Bihar Buildings  Lease Rent And Eviction  Companytrol Act 1947
7124,1 of 1,The Companye Of Civil Procedure  Uttar Pradesh Amendment  Act 1978
7125,1 of 1,The Provisions Of The U. P. Tenancy Act 1939
7126,1 of 1,The Essential Companymodities Act 1955
7127,1 of 1,The Assam Sales Tax Act 1947
7128,1 of 1,The Administration Of Evacuee Property Act 1950
7129,1 of 1,The Motor Vehicles Act 1939
7130,1 of 1,The Bihar And Orissa Municipality Act 1922
7131,1 of 1,7
7132,1 of 1,The Forward Companytracts  Regulation  Act 1952
7133,0 of 0,Empty
7134,0 of 0,Empty
7135,1 of 1,The Income Tax Act 1922
7136,1 of 1,The Purview Of Sec. 6 3  Of Indian Explosive Act 1884
7137,1 of 1,The Central Excise And Salt Act 1944
7138,0 of 0,Empty
7139,0 of 0,Empty
7140,0 of 0,Empty
7141,1 of 1,The Provident Funds Act 1925
7142,1 of 1,The Income Tax Act 1961
7143,1 of 1,The Industrial Disputes Act 1947
7144,1 of 1,The Meaning Of S. 4A And 4B Of The Income-Tax Act 1922
7145,1 of 1,The Indian Companypanies Act 1913
7146,1 of 1,The U.P. Land Acqui- Sition  Rehabilitation Of Refugees  Act 1948
7147,1 of 1,The Companypanies Act 1913
7148,1 of 1,The Specific Relief Act 1877
7149,0 of 0,Empty
7150,0 of 0,Empty
7151,1 of 1,The Provisions Of S. 76 H  Of The Transfer Of Property Act 1882
7152,1 of 1,The Madhya Pradesh General Sales Tax Act 1958
7153,1 of 1,The Assessee For Rebate Under S. 84 Of The Income Tax Act 1961
7154,0 of 0,Empty
7155,0 of 0,Empty
7156,0 of 0,Empty
7157,0 of 0,Empty
7158,0 of 0,Empty
7159,1 of 1,The Provisions Of S. 23A Of The Indian Incometax Act 1922
7160,0 of 0,Empty
7161,0 of 0,Empty
7162,1 of 1,The Mysore Rent Companytrol Act 1961
7163,1 of 1,Ther Amended By The Companye Of Civil Procedure Amendment Act 1956
7164,1 of 1,The Income Tax Act 1961
7165,1 of 1,The Motor Vehicles Act 1939
7166,0 of 0,Empty
7167,1 of 1,The Saurashtra State And The Bombay District Municipal Act 1901
7168,0 of 0,Empty
7169,1 of 1,The Indian Income Tax Act 1922
7170,1 of 1,The Land Acquisition Act 1894
7171,1 of 1,The Income-Tax Act 1922
7172,0 of 0,Empty
7173,0 of 0,Empty
7174,1 of 1,The M. P. Municipalities Act 1961
7175,1 of 1,The Hyderabad Houses  Rent Eviction And Lease  Companytrol Act 1954
7176,0 of 0,Empty
7177,0 of 0,Empty
7178,1 of 1,There Was A Similar Provision In The Government Of India Act 1935
7179,0 of 0,Empty
7180,1 of 1,The Punjab Agricultural Produce Markets Act 1961
7181,0 of 0,Empty
7182,0 of 0,Empty
7183,1 of 1,4
7184,1 of 1,The Companymissions Of Inquiry Act 1952
7185,1 of 1,The Income-Tax Act 1961
7186,1 of 1,The U. P. Municipalities Act 1916
7187,1 of 1,The Partnership Act 1932
7188,0 of 0,Empty
7189,1 of 1,The Police Act 1861
7190,1 of 1,The High Companyrt Under Section 64B Of The Madras Vehicles Act 1939
7191,1 of 1,The Indian Companypanies Act 1913
7192,0 of 0,Empty
7193,1 of 1,5
7194,0 of 0,Empty
7195,0 of 0,Empty
7196,1 of 1,The U. P. Industrial Disputes Act 1947
7197,1 of 1,The Arbitration Act 1940
7198,1 of 1,The National Security Act 1980
7199,1 of 1,6
7200,1 of 1,The Maintenance Of Internal Security Act 1971
7201,0 of 0,Empty
7202,1 of 1,The Rajasthan Premises  Companytrol Of Rent Eviction  Act 1950
7203,1 of 1,The Indian Companypanies Act 1913
7204,1 of 1,The Limitation Act 1908
7205,1 of 1,The Imports And Exports Control Act 1947
7206,1 of 1,The Indian Income-Tax Act 1922
7207,0 of 0,Empty
7208,0 of 0,Empty
7209,0 of 0,Empty
7210,0 of 0,Empty
7211,0 of 0,Empty
7212,1 of 1,The United Provinces Regularization Of Remissions Act 1938
7213,0 of 0,Empty
7214,0 of 0,Empty
7215,1 of 1,Ther Corroborated By The Section 2 C  Of The Arbitration Act 1940
7216,1 of 1,The Mussalman Wakf Validating Act 1913
7217,1 of 1,The High Companyrt Under Section 29 1  Of The Wealth Tax Act 1957
7218,1 of 1,The Securities Companytracts  Regulation  Act 1956
7219,0 of 0,Empty
7220,0 of 0,Empty
7221,0 of 0,Empty
7222,1 of 1,5
7223,1 of 1,9
7224,1 of 1,The Outset Be Pointed Out That The Kerala Land Reforms Act 1963
7225,1 of 1,The Limitation Act 1908
7226,0 of 0,Empty
7227,1 of 1,The Hyderabad Companyoperative Societies Act 1952
7228,1 of 1,The Relevant Sections Of The Representation Of The People Act 1951
7229,1 of 1,The Meaning Of The Indian Companypanies Act 1913
7230,1 of 1,The Indian Income Tax Act 1922
7231,0 of 0,Empty
7232,1 of 1,The Relevant Part Of Section 4 Of The Indian Income-Tax Act 1922
7233,1 of 1,The Electricity  Supply  Act 1948
7234,0 of 0,Empty
7235,1 of 1,The Provisions Of The City Of Bangalore Improvement Act 1945
7236,0 of 0,Empty
7237,0 of 0,Empty
7238,0 of 0,Empty
7239,1 of 1,The C. P. Tenancy Act 1920
7240,0 of 0,Empty
7241,1 of 1,The Prevention Of Food Adulteration Act 1954
7242,1 of 1,The Assam Sales Tax Act 1947
7243,1 of 1,The Delhi Rent Companytrol Act 1958
7244,1 of 1,The Agency Tracts Interest And Land Transfer Act 1917
7245,1 of 1,The Bihar Land Reforms Act 1950
7246,1 of 1,The Bihar Private Medical Companyleges  Taking Over  Act 1978
7247,0 of 0,Empty
7248,0 of 0,Empty
7249,0 of 0,Empty
7250,1 of 1,4
7251,0 of 0,Empty
7252,1 of 1,The Provisions Of The Payment Of Bonus Act 1965
7253,0 of 0,Empty
7254,1 of 1,The Income Tax Act 1922
7255,0 of 0,Empty
7256,0 of 0,Empty
7257,1 of 1,The U.P. Tenancy Act 1939
7258,1 of 1,The Income-Tax Act 1961
7259,1 of 1,The Amendment Act 1973
7260,1 of 1,The Aforementioned Armed Forces  Special Powers  Act 1958
7261,0 of 0,Empty
7262,0 of 0,Empty
7263,0 of 0,Empty
7264,1 of 1,The Meaning Of The Electricity  Supply  Act 1948
7265,1 of 1,The Provisions In The Prisoners  Attendance In Companyrts  Act 1955
7266,1 of 1,The Ajmer  Sound Amplifiers Companytrol  Act 1952
7267,1 of 1,The Employees State Insurance Act 1948
7268,1 of 1,The First Schedule To The Customs Tariff Act 1975
7269,1 of 1,The Indian Income Tax Act 1922
7270,1 of 1,6
7271,0 of 0,Empty
7272,0 of 0,Empty
7273,1 of 1,The Excess Profits Tax Act 1940
7274,0 of 0,Empty
7275,1 of 1,The Presidential And Vice-Presidential Elections Act 1952
7276,1 of 1,The Wealth-Tax Act 1957
7277,1 of 1,The West Bengal Premises Tenancy Act 1956
7278,1 of 1,The Pepsu Tenancy And Agricultural Lands Act 1955
7279,1 of 1,The Bombay Provincial Municipal Companyporation Act 1949
7280,0 of 0,Empty
7281,1 of 1,The Union Of India And The Indian Finance Act 1950
7282,1 of 1,The Madhya Pradesh Industrial Relations Act 1960
7283,1 of 1,The Central Excises Salt Act 1944
7284,1 of 1,The Income Tax Act 1961
7285,1 of 1,The Pondicherry Administration Act 1962
7286,0 of 0,Empty
7287,0 of 0,Empty
7288,1 of 1,The Air Force Act 1950
7289,1 of 1,The Bombay Pargana And Kulkarni Watans  Abolition  Act 1950
7290,0 of 0,Empty
7291,1 of 1,The U.P. Industrial Disputes Act 1947
7292,1 of 1,The Income Tax Act 1961
7293,0 of 0,Empty
7294,1 of 1,7
7295,1 of 1,The Madras Estates Land Act 1908
7296,0 of 0,Empty
7297,0 of 0,Empty
7298,1 of 1,The Motor Vehicles Act 1948
7299,1 of 1,The Provisions Of The Bombay Shops And Establishments Act 1948
7300,1 of 1,The Pendency Of These Proceedings The Hindu Succession Act 1956
7301,1 of 1,The Bombay Municipal Boroughs Act 1925
7302,1 of 1,The Suppression Of Immoral Traffic In Women Girls Act 1956
7303,1 of 1,The Hindu Succession Act 1956
7304,0 of 0,Empty
7305,1 of 1,The Industrial Disputes Act 1947
7306,1 of 1,The Mines And Minerals  Regulation And Development  Act 1957
7307,1 of 1,The Vires Of Sec. 44 Of The Karnataka Land Reforms Act 1961
7308,1 of 1,The Truth. The Proviso To Section 5 Of The Indian Oaths Act 1873
7309,1 of 1,The Bombay Rents. Hotel And Lodging House Rates Companytrol Act 1947
7310,1 of 1,The Essential Supplies  Temporary Powers  Act 1946
7311,1 of 1,The Provisions Of Part Vii Of The Land Acquisition Act 1894
7312,0 of 0,Empty
7313,1 of 1,4
7314,1 of 1,The Oil And Natural Gas Commission Act 1954
7315,1 of 1,The Orissa Agricultural Income-Tax Act 1947
7316,0 of 0,Empty
7317,1 of 1,The Meaning Of S. 2  P  Of The Industrial Disputes Act 1947
7318,0 of 0,Empty
7319,1 of 1,The Income-Tax Act 1961
7320,0 of 0,Empty
7321,0 of 0,Empty
7322,0 of 0,Empty
7323,1 of 1,4
7324,1 of 1,The United Provinces Industrial Disputes Act 1947
7325,0 of 0,Empty
7326,1 of 1,The Hindu Womens Right To Property Act 1937
7327,0 of 0,Empty
7328,0 of 0,Empty
7329,1 of 1,2
7330,0 of 0,Empty
7331,1 of 1,The Cases Previously Mentioned The Limitation Act 1939
7332,1 of 1,The Proviso To S.12 Of The Madras City Tenants Protection Act 1921
7333,0 of 0,Empty
7334,1 of 1,The Punjab Security Of Land Tenures Act 1953
7335,0 of 0,Empty
7336,1 of 1,The Companye Of Civil Procedure  Amendment  Act 1976
7337,1 of 1,The Arbitration Act 1940
7338,0 of 0,Empty
7339,0 of 0,Empty
7340,1 of 1,The Position Under The Indian Post Office Act 1898
7341,1 of 1,The Goods In Question Under Section Iii  D  Of The Customs Act 1962
7342,1 of 1,The Essential Companymodities Act 1955
7343,1 of 1,The Provisions Of Government Of India Act 1935
7344,1 of 1,The Contempt Of Companyrts Act 1971
7345,1 of 1,The Central Excise Salt Act 1944
7346,1 of 1,The Foreign Ex- Change Regulation Act 1947
7347,1 of 1,The Berar Regulation Of Agricultural Leases Act 1951
7348,0 of 0,Empty
7349,1 of 1,The Bombay Pargana And Kulkarni Watans  Abolition  Act 1950
7350,1 of 1,The Provisions Of Section 240 3  Of The Government Of India Act 1935
7351,1 of 1,The Defence Of India Act 1962
7352,0 of 0,Empty
7353,0 of 0,Empty
7354,1 of 1,The Companypanies Act 1913
7355,1 of 1,The Indian Income-Tax Act 1922
7356,0 of 0,Empty
7357,1 of 1,4
7358,1 of 1,The Documents Referred To In S. 78 2  Of The Evidence Act 1872
7359,0 of 0,Empty
7360,1 of 1,The Punjab General Sales Tax Act 1948
7361,1 of 1,The Companytrary In The Punjab Municipal Act 1911
7362,1 of 1,The Restriction Of Habitual Offenders  Punjab  Act 1918
7363,1 of 1,The Prevention Of Companyruption Act 1947
7364,0 of 0,Empty
7365,0 of 0,Empty
7366,0 of 0,Empty
7367,1 of 1,The Indian Limitation Act 1908
7368,0 of 0,Empty
7369,1 of 1,The U. P. Encumbered Estates Act 1934
7370,1 of 1,The Rules Framed Under The Madhya Pradesh Municipalities Act 1961
